id_individu,cluster_kmeans,target,Dim.1,Dim.2
1,1,Dropout,-2.798213108298799,-1.5550268734257524
2,2,Graduate,-0.296118826588914,-1.0863308995266348
3,1,Dropout,-3.810640671676969,-1.0889881299747861
4,2,Graduate,0.7124406037363178,0.3428760358889105
5,2,Graduate,-0.6372200824355234,2.9836071884203226
6,1,Graduate,-1.7765899747283438,3.5913283110897347
7,2,Graduate,1.7803767514030162,-0.8899160297611658
8,1,Dropout,-3.6441223157737825,0.021995836069863467
9,2,Graduate,1.4718361879595523,-0.7552432580782704
10,1,Dropout,-1.035646020777997,0.5159973629852149
11,2,Graduate,0.755198699081175,-0.8452358751385749
12,2,Graduate,1.5649916761162799,-0.5849276381786253
13,1,Dropout,-1.7039152598655678,-1.5178806194276648
14,2,Graduate,0.6304822805065586,0.3118601511071407
15,2,Graduate,1.253193277087319,-1.798488279218321
16,2,Dropout,0.4263148389231645,-0.15403891625630045
17,2,Enrolled,0.19982852985264513,-0.9327988825948691
18,2,Graduate,1.1151201205808077,-0.2984346227447134
19,2,Graduate,0.5512750048248942,-0.7483555986804746
20,2,Enrolled,0.7194089657360863,-0.6397798152657771
21,1,Graduate,-1.8814624333246233,-1.921419721524816
22,2,Enrolled,1.179660839331049,0.8027035249465038
23,2,Graduate,1.4195056910266617,-0.04969831919330244
24,2,Graduate,1.240458209576409,-0.145306018832434
25,2,Graduate,0.7997166965584505,0.04666875795513755
26,2,Enrolled,0.8433926378652119,-1.7643336269356584
27,2,Graduate,0.4400374625196752,0.7393897392405469
28,2,Enrolled,0.8383421371141604,-0.5626725317853369
29,2,Graduate,0.38560478587179453,-0.48532643725319063
30,2,Enrolled,0.3173141853360974,0.387009953335071
31,2,Enrolled,0.895677052056661,-0.4687002905054575
32,2,Graduate,0.19799804887030598,0.0021906378398786432
33,1,Enrolled,-1.0440648030540796,-0.5211625448291091
34,2,Graduate,0.3955830144226435,0.23789701929403476
35,2,Graduate,-0.8148703279579094,1.4779691701616406
36,1,Dropout,-4.541936879870475,1.4761243835657722
37,1,Dropout,-3.3210075980174976,-0.6357564303096259
38,2,Dropout,-1.1406281626319075,1.3700989559860317
39,2,Graduate,-0.7094272098986476,2.5426437126727555
40,1,Dropout,-1.3068593663748127,1.5624895188312276
41,2,Dropout,-0.39545425432400994,0.11861093904962697
42,2,Graduate,0.5274991831900984,-0.2764785240371455
43,2,Graduate,0.2766737985625279,1.5814843043952151
44,2,Dropout,-0.7757012367198729,0.5318013477782783
45,1,Dropout,-2.98179722620181,-0.019614369086951536
46,2,Enrolled,-0.173870993629468,-0.013113423890796092
47,2,Graduate,0.5694779971561621,-0.5083767679531844
48,2,Graduate,1.3796553625865715,-0.6303006020724685
49,2,Graduate,0.6374374758172661,0.1393299644707429
50,2,Graduate,1.1091934146122928,-1.0992820310822582
51,2,Graduate,1.0214817334114898,-0.19454856088721473
52,2,Enrolled,1.4105995097909696,-0.5835794432938898
53,2,Enrolled,1.2383252823288062,-0.1355907355024022
54,2,Graduate,1.3960268517365515,-2.2827439951563586
55,2,Dropout,0.028885383448560103,1.8171004835651117
56,2,Graduate,1.1258031361340939,-0.08401108753468105
57,1,Dropout,-1.9974732508264088,0.16170023446770124
58,2,Dropout,0.7255614006484072,-0.36278875144873807
59,2,Graduate,1.6215966326625633,-0.6622680805811033
60,1,Enrolled,-2.3212975590293037,-1.6071925422930955
61,2,Graduate,0.7287956858736365,0.2413557508083695
62,2,Graduate,1.1436926958288631,-0.7754518214831667
63,1,Enrolled,-2.15817676159974,-2.380158821317906
64,2,Enrolled,-0.15394281355794562,-0.3663608464915513
65,1,Enrolled,-2.5729402169301796,-0.31459080131189576
66,2,Dropout,-0.05408937090189501,0.5737911123918251
67,1,Graduate,-2.0813197027410406,-2.62552050370135
68,2,Graduate,0.20943195685854601,0.11546398141628991
69,2,Dropout,-0.7780344840613517,0.6266896454738238
70,2,Enrolled,0.04828048229933621,-0.043148446823341416
71,1,Enrolled,-1.7603194892291845,-1.6677955492691772
72,2,Graduate,0.49102058858601394,-0.42083372391884016
73,1,Dropout,-2.5146734745473656,-2.42735775737436
74,2,Dropout,-0.22536320884939798,0.8335330969082588
75,2,Graduate,0.465416786437619,-0.630604560042212
76,1,Dropout,-1.2710969233575395,0.6488578335835368
77,2,Dropout,-0.21562563543362961,0.6745924479790719
78,2,Graduate,-0.012302633167861605,0.2451666940322422
79,2,Graduate,1.2990027996660174,-0.9953533187253171
80,2,Graduate,-0.724129139511032,2.387683433613816
81,2,Dropout,-0.2324842536526139,0.8532618100920213
82,1,Dropout,-3.1299554290886453,-0.7933899360292769
83,2,Dropout,0.8527142331249181,-0.6008301503993638
84,2,Enrolled,-0.16693115187349541,-0.062216850498293445
85,2,Graduate,-0.3773523829286587,1.9536910956062434
86,2,Graduate,2.00592592043767,-2.168543140145277
87,2,Graduate,0.17579731310794194,0.3518262750056461
88,2,Graduate,0.002517359066106534,0.4886545292721845
89,2,Enrolled,-0.005682466760753755,-0.5980548265634653
